,altitude,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,speed,timestamp,unknown_88,time_elapsed,time_interval,speed_mph,difference_in_speed_mph,speed_kmh,difference_in_speed_kmh,speed_meters_sec,speed_feet_sec,pace_min_mile,pace_min_km,distance_total_miles,distance_total_km,distance_interval_miles,distance_interval_km,elevation_meters,elevation_feet,rise_meters,rise_feet,run_meters,run_feet,gradient_%,hr_%
211,63.2,6451.84,63.2,2.921,125.0,445564147.0,-1456717259.0,2.921,2020-06-18 14:16:13,300.0,0 days 00:22:40.000000000,0 days 00:00:02.000000000,6.534091118181817,-0.24829993636363756,10.5156,-0.3996000000000013,2.921,9.58333364,9.182608401808706,5.705808513066302,4.008987512924521,6.45184,0.0038649289393940973,0.006220000000000255,63.2,207.349088,-0.3999999999999986,-1.3123359999999953,6.220000000000255,20.406824800000834,-6.430868167202286,64.43298969072166
212,62.8,6457.61,62.8,2.753,128.0,445564489.0,-1456717908.0,2.753,2020-06-18 14:16:15,300.0,0 days 00:22:42.000000000,0 days 00:00:02.000000000,6.158285809090909,-0.37580530909090815,9.910800000000002,-0.6047999999999973,2.753,9.03215252,9.742970992256893,6.054001695120474,4.01257282470373,6.45761,0.0035853118939391,0.005769999999999527,62.8,206.03675199999998,-0.4000000000000057,-1.3123360000000186,5.769999999999527,18.93044679999845,-6.932409012132382,65.97938144329896
213,62.2,6464.8,62.2,2.127,131.0,445564899.0,-1456718732.0,2.127,2020-06-18 14:16:18,300.0,0 days 00:22:45.000000000,0 days 00:00:03.000000000,4.757963645454545,-1.400322163636364,7.657199999999999,-2.253600000000003,2.127,6.97834668,12.610436832009041,7.835762419683436,4.017040483575917,6.4648,0.004467659015151832,0.007190000000000509,62.2,204.068248,-0.5999999999999943,-1.9685039999999814,7.190000000000509,23.589239600001672,-8.344923504867202,67.5257731958763
214,61.6,6473.47,61.6,2.165,134.0,445565321.0,-1456719773.0,2.165,2020-06-18 14:16:22,300.0,0 days 00:22:49.000000000,0 days 00:00:04.000000000,4.8429672272727275,0.08500358181818246,7.794,0.13680000000000092,2.165,7.1030186,12.389098910708187,7.698229407236336,4.022427771812614,6.47347,0.005387288409090954,0.008670000000000073,61.6,202.09974400000002,-0.6000000000000014,-1.9685040000000047,8.670000000000073,28.44488280000024,-6.9204152249134525,69.0721649484536
215,62.4,6491.58,62.4,1.987,137.0,445566321.0,-1456721863.0,1.987,2020-06-18 14:16:30,300.0,0 days 00:22:57.000000000,0 days 00:00:08.000000000,4.4447925545454545,-0.398174672727273,7.153200000000001,-0.6407999999999987,1.987,6.51902908,13.498942698381091,8.387854386847843,4.033680804104033,6.49158,0.011253032651514948,0.01810999999999967,62.4,204.724416,0.7999999999999972,2.6246719999999906,18.109999999999673,59.41601239999893,4.417448923246889,70.61855670103093
216,63.0,6502.09,63.0,2.015,140.0,445566923.0,-1456723059.0,2.015,2020-06-18 14:16:35,300.0,0 days 00:23:02.000000000,0 days 00:00:05.000000000,4.507426772727273,0.06263421818181847,7.254,0.10079999999999867,2.015,6.610892600000001,13.31136433830433,8.271298593879239,4.040211415334447,6.50209,0.006530611439394075,0.010510000000000219,63.0,206.69292,0.6000000000000014,1.9685040000000047,10.510000000000218,34.481628400000716,5.7088487155089345,72.16494845360825
217,63.2,6514.89,63.2,2.053,143.0,445567513.0,-1456724616.0,2.053,2020-06-18 14:16:41,300.0,0 days 00:23:08.000000000,0 days 00:00:06.000000000,4.592430354545455,0.08500358181818157,7.3908000000000005,0.13680000000000092,2.053,6.73556452,13.064977662777997,8.118201006656925,4.048164966595085,6.51489,0.007953551515151628,0.012800000000000183,63.2,207.349088,0.20000000000000284,0.6561680000000093,12.800000000000182,41.994752000000595,1.5625,73.71134020618557
218,65.2,6538.04,65.2,2.183,146.0,445568441.0,-1456727504.0,2.183,2020-06-18 14:16:52,300.0,0 days 00:23:19.000000000,0 days 00:00:11.000000000,4.883232081818181,0.2908017272727266,7.8588,0.4679999999999991,2.183,7.1620737199999995,12.286944178508122,7.634753397465262,4.062549709695379,6.53804,0.014384743560605835,0.023149999999999636,65.2,213.91076800000002,2.0,6.56168,23.149999999999636,75.95144599999881,8.639308855291713,75.25773195876289
219,73.0,6569.14,73.0,2.389,149.0,445569368.0,-1456731565.0,2.389,2020-06-18 14:17:06,300.0,0 days 00:23:33.000000000,0 days 00:00:14.000000000,5.344040972727273,0.4608088909090915,8.6004,0.7416000000000009,2.389,7.837926759999999,11.227458828666064,6.976419701409236,4.08187435377396,6.56914,0.019324644696969925,0.031100000000000363,73.0,239.50132,7.799999999999997,25.59055199999999,31.100000000000364,102.0341240000012,25.08038585208973,76.80412371134021
220,82.4,6626.99,82.4,4.199,146.0,445571871.0,-1456738693.0,4.199,2020-06-18 14:17:22,300.0,0 days 00:23:49.000000000,0 days 00:00:16.000000000,9.39289579090909,4.048854818181818,15.1164,6.516,4.199,13.776247159999999,6.387806416214153,3.969199015638644,4.1178206772448895,6.62699,0.035946324621211785,0.05784999999999946,82.4,270.34121600000003,9.400000000000006,30.839896000000017,57.849999999999454,189.7965939999982,16.2489196197063,75.25773195876289
221,84.4,6669.42,84.4,6.597,143.0,445574551.0,-1456743319.0,6.597,2020-06-18 14:17:30,300.0,0 days 00:23:57.000000000,0 days 00:00:08.000000000,14.757069190909093,5.364173400000002,23.749200000000002,8.632800000000001,6.597,21.64370148,4.0658479826714,2.5264008892931127,4.1441854569315195,6.66942,0.026364780530303212,0.042430000000000294,84.4,276.902896,2.0,6.56168,42.43000000000029,139.20604120000095,4.713646005184978,73.71134020618557
222,85.4,6728.48,85.4,9.928,140.0,445578974.0,-1456749022.0,9.928,2020-06-18 14:17:37,300.0,0 days 00:24:04.000000000,0 days 00:00:07.000000000,22.208304218181823,7.45123502727273,35.7408,11.991599999999998,9.928,32.572179520000006,2.7016920972686567,1.678753693258125,4.180883639545057,6.728479999999999,0.03669818378787847,0.05905999999999949,85.4,280.183736,1.0,3.28084,59.05999999999949,193.76641039999834,1.6931933626820328,72.16494845360825
223,85.6,6788.93,85.6,9.648,137.0,445583635.0,-1456754693.0,9.648,2020-06-18 14:17:43,300.0,0 days 00:24:10.000000000,0 days 00:00:06.000000000,21.581962036363635,-0.6263421818181882,34.7328,-1.0080000000000027,9.648,31.653544319999998,2.7800994135243813,1.7274737423991156,4.2184455281158035,6.788930000000001,0.03756188977272772,0.060450000000000725,85.6,280.839904,0.19999999999998863,0.6561679999999627,60.45000000000073,198.32677800000238,0.3308519437551468,70.61855670103093
224,85.6,6852.55,85.6,8.855,137.0,445588683.0,-1456760473.0,8.855,2020-06-18 14:17:50,300.0,0 days 00:24:17.000000000,0 days 00:00:07.000000000,19.808071500000004,-1.7738905363636306,31.878,-2.8547999999999973,8.855,29.051838200000002,3.0290682260511828,1.8821757952192735,4.2579771633659425,6.85255,0.039531636515151444,0.06361999999999988,85.6,280.839904,0.0,0.0,63.61999999999989,208.72704079999963,0.0,70.61855670103093
